userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,nsi
282498319,169364,3005571,98,394,8.0408,0.0414,0.876289,0.0064908722109533,0.0465299699863044,0.0001657709188568,0.9963996399639964,0.9531,0.9525593008739076,au,0.48
753713584689991680,123496,1893469,109,1802,33.0642,0.1531,0.981481,0.0293441514536849,0.0378852486085883,0.0043896858523569,0.9681968196819682,0.7895,0.937578027465668,us,0.49
1262248939207528449,261885,2936139,200,1341,13.41,0.0337,0.854271,0.0071670047329276,0.0623954620069352,0.0006491930454763,0.9936993699369936,0.6789000000000001,0.951310861423221,au,0.45
4118575993,38355,734755,84,308,7.3333,0.0442,0.795181,0.0497633536173089,0.0149738230066146,5.101457243424699e-05,0.9717971797179716,0.3165,0.9151061173533084,au,0.39
1399368103801364490,94954,1328038,79,280,7.0886,0.0454,0.730769,0.0089249492900608,0.0366575039095509,3.576073345252559e-05,0.9483948394839484,0.2389,0.4556803995006242,uk,0.31
1472536815328370691,309088,3263471,225,1984,17.6356,0.0394,0.90625,0.0312373225152129,0.0566705195574679,0.0053905280687501,0.9942994299429944,0.7988,0.9001248439450686,au,0.47
1442656377059512323,26176,349321,16,43,5.375,0.1792,0.866667,0.0356997971602434,0.0666401173350946,0.0013542541576083,0.9837983798379838,0.9579,0.9812734082397004,us,0.51
1089171863954173953,28897,244636,26,39,3.0,0.06,0.1999999999999999,0.0081135902636916,0.0854758967684283,0.0,0.954995499549955,0.6517,0.8801498127340824,us,0.36
1308278843807903744,37157,335944,40,99,4.95,0.0635,0.6923079999999999,0.0079783637592968,0.0157839013918972,0.0011555899449842,0.9633963396339634,0.7864,0.7940074906367041,us,0.42
121371795,186976,2629226,127,754,11.874,0.0471,0.801587,0.0100067613252197,0.0751138869192738,0.0012991969652898,0.9741974197419742,0.4322,0.6379525593008739,us,0.37
918866209654886400,252503,2442990,178,1337,15.0225,0.0424,0.700565,0.014604462474645,0.0523636999407496,0.0537324469356488,0.981998199819982,0.6323,0.9013732833957552,us,0.42
1300389619616428034,166939,1617890,234,818,6.9915,0.015,0.7553650000000001,0.0036511156186612,0.0254640467009217,0.0001745142595366,0.985898589858986,0.5939,0.6416978776529338,au,0.38
831469502655143937,125606,1562350,81,347,8.5679,0.0535,0.7875,0.0078431372549019,0.1050498771283984,0.0052636673662788,0.9888988898889888,0.8081,0.9450686641697876,au,0.46
988402862853046273,66503,882484,177,1500,16.9492,0.0482,0.943182,0.02920892494929,0.0163084125766126,0.0005269978083946,0.9765976597659766,0.4612,0.6379525593008739,au,0.39
4620791474,150882,2858088,84,202,4.8095,0.029,0.771084,0.004868154158215,0.0380115198197235,0.001171889694343,0.9975997599759976,0.988,0.9712858926342072,au,0.48
1337795720364093442,105514,1508175,58,458,15.7931,0.1385,0.842105,0.0334009465855307,0.0907035249094247,0.0539687521700436,0.9648964896489648,0.7041999999999999,0.9263420724094882,uk,0.47
1308229117423374336,16267,151888,16,28,3.5,0.1167,0.4666669999999999,0.0096010818120351,0.0324264470195137,0.0020075955891867,0.991899189918992,0.9595,0.9850187265917604,us,0.45
875415944633470976,200346,3045917,104,633,12.1731,0.0591,0.873786,0.0140635564570655,0.0583392421784697,0.0005311461944968,0.9750975097509752,0.6646000000000001,0.8264669163545568,uk,0.43
3339880863,26537,410091,40,224,11.2,0.1436,0.769231,0.0210953346855983,0.0599535710469825,0.0025793677631595,0.9273927392739274,0.5987,0.9800249687890136,uk,0.44
61787727,144935,2156359,107,515,9.6262,0.0454,0.830189,0.0066260987153482,0.0503045078822375,0.0004221247274448,0.9813981398139814,0.631,0.7990012484394506,us,0.42
1575953945163599872,109200,1740337,89,480,10.7865,0.0613,0.931818,0.0102772143340094,0.0314240478665021,0.0011794696066259,0.973897389738974,0.4799,0.7690387016229713,au,0.41
319721742,206178,2742661,147,805,10.9524,0.0375,0.856164,0.0071670047329276,0.0837974609773391,0.0006107529011702,0.9828982898289828,0.3597,0.8514357053682896,us,0.4
