userids,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SS,IS,RIS,ABC,RBC,ACC,country,type,alpha-6,alpha-8
282498319,169364,3005571,98,394,8.0408,0.0414,0.876289,0.006490872210953346,0.04652996998630443,0.0001657709188568275,0.9963996399639964,0.9531000000000001,0.9525593008739076,au,au,0.64,0.48
753713584689991680,123496,1893469,109,1802,33.0642,0.1531,0.981481,0.029344151453684922,0.037885248608588384,0.004389685852356964,0.9681968196819682,0.7895,0.9375780274656679,us,rural,0.62,0.49
1262248939207528449,261885,2936139,200,1341,13.41,0.0337,0.854271,0.007167004732927654,0.0623954620069352,0.0006491930454763124,0.9936993699369937,0.6789000000000001,0.951310861423221,au,au,0.59,0.45
4118575993,38355,734755,84,308,7.3333,0.0442,0.795181,0.04976335361730899,0.01497382300661467,5.101457243424699e-05,0.9717971797179717,0.3165,0.9151061173533084,au,au,0.51,0.39
1399368103801364490,94954,1328038,79,280,7.0886,0.0454,0.730769,0.008924949290060852,0.036657503909550956,3.576073345252559e-05,0.9483948394839484,0.2389,0.4556803995006242,uk,rural,0.4,0.31
1472536815328370691,309088,3263471,225,1984,17.6356,0.0394,0.90625,0.031237322515212978,0.05667051955746796,0.005390528068750109,0.9942994299429943,0.7988,0.9001248439450686,au,au,0.61,0.47
1442656377059512323,26176,349321,16,43,5.375,0.1792,0.866667,0.03569979716024341,0.06664011733509466,0.0013542541576083286,0.9837983798379838,0.9579,0.9812734082397003,us,urban,0.65,0.51
1089171863954173953,28897,244636,26,39,3.0,0.06,0.19999999999999996,0.008113590263691683,0.08547589676842832,0.0,0.954995499549955,0.6517,0.8801498127340824,us,urban,0.46,0.36
1308278843807903744,37157,335944,40,99,4.95,0.0635,0.6923079999999999,0.007978363759296822,0.015783901391897275,0.0011555899449842914,0.9633963396339634,0.7864,0.7940074906367041,us,urban,0.54,0.42
121371795,186976,2629226,127,754,11.874,0.0471,0.801587,0.010006761325219743,0.07511388691927384,0.001299196965289866,0.9741974197419742,0.43220000000000003,0.6379525593008739,us,urban,0.49,0.37
918866209654886400,252503,2442990,178,1337,15.0225,0.0424,0.700565,0.01460446247464503,0.05236369994074966,0.05373244693564888,0.981998199819982,0.6323,0.9013732833957553,us,rural,0.55,0.42
1300389619616428034,166939,1617890,234,818,6.9915,0.015,0.7553650000000001,0.0036511156186612576,0.02546404670092178,0.00017451425953664314,0.9858985898589859,0.5939,0.6416978776529338,au,au,0.5,0.38
831469502655143937,125606,1562350,81,347,8.5679,0.0535,0.7875,0.007843137254901959,0.1050498771283984,0.00526366736627886,0.9888988898889889,0.8081,0.9450686641697877,au,au,0.61,0.46
988402862853046273,66503,882484,177,1500,16.9492,0.0482,0.943182,0.02920892494929006,0.01630841257661263,0.0005269978083946952,0.9765976597659766,0.46120000000000005,0.6379525593008739,au,au,0.51,0.39
4620791474,150882,2858088,84,202,4.8095,0.029,0.771084,0.00486815415821501,0.03801151981972357,0.0011718896943430338,0.9975997599759976,0.988,0.9712858926342073,au,au,0.63,0.48
1337795720364093442,105514,1508175,58,458,15.7931,0.1385,0.842105,0.033400946585530764,0.0907035249094247,0.05396875217004368,0.9648964896489649,0.7041999999999999,0.9263420724094882,uk,rural,0.59,0.47
1308229117423374336,16267,151888,16,28,3.5,0.1167,0.46666699999999994,0.009601081812035159,0.032426447019513756,0.002007595589186758,0.991899189918992,0.9595,0.9850187265917603,us,rural,0.57,0.45
875415944633470976,200346,3045917,104,633,12.1731,0.0591,0.873786,0.014063556457065583,0.05833924217846978,0.0005311461944968121,0.9750975097509751,0.6646000000000001,0.8264669163545568,uk,urban,0.57,0.43
3339880863,26537,410091,40,224,11.2,0.1436,0.769231,0.021095334685598374,0.059953571046982596,0.002579367763159541,0.9273927392739274,0.5987,0.9800249687890137,uk,rural,0.56,0.44
61787727,144935,2156359,107,515,9.6262,0.0454,0.830189,0.006626098715348207,0.050304507882237524,0.0004221247274448634,0.9813981398139814,0.631,0.7990012484394506,us,urban,0.55,0.42
1575953945163599872,109200,1740337,89,480,10.7865,0.0613,0.931818,0.010277214334009466,0.031424047866502186,0.0011794696066259385,0.9738973897389739,0.4799,0.7690387016229713,au,au,0.53,0.41
319721742,206178,2742661,147,805,10.9524,0.0375,0.856164,0.007167004732927654,0.08379746097733917,0.000610752901170295,0.9828982898289829,0.3597,0.8514357053682896,us,urban,0.52,0.4
159212310,113753,1878644,91,601,13.2088,0.0734,0.811111,0.015956727518593644,0.11687857566073839,0.0003094131945683688,0.9675967596759676,0.38239999999999996,0.8464419475655431,uk,rural,0.52,0.4
1009955810611466241,69009,877329,39,76,3.8974,0.0513,0.473684,0.007302231237322515,0.04289918700766369,0.0004015238185581472,0.9774977497749775,0.7411,0.9313358302122348,us,rural,0.53,0.4
1133310385262514176,100654,1371349,85,304,7.1529,0.0426,0.75,0.008519269776876268,0.03457888551086418,0.0005830891592881901,0.9747974797479748,0.5933999999999999,0.7852684144818977,au,au,0.52,0.4
3014384607,126222,2318350,100,998,19.96,0.1008,0.939394,0.03407707910750507,0.03321321379658679,0.0020159746240049144,0.9627962796279628,0.5473,0.9800249687890137,us,rural,0.58,0.45
1296200801409540096,64731,906079,46,195,8.4783,0.0942,0.666667,0.015145368492224474,0.041042028886967834,0.0017670126988679593,0.9297929792979298,0.13849999999999996,0.8651685393258427,us,urban,0.44,0.34
1358886128934219777,28933,530041,58,161,5.5517,0.0487,0.54386,0.010006761325219743,0.013598438122249958,0.0001498354753597441,0.9615961596159616,0.3556,0.9213483146067416,au,au,0.47,0.36
3244486423,157762,1363022,141,2004,28.4255,0.1015,0.885714,0.02068965517241379,0.07059726282866939,0.0007661704824748138,0.9852985298529853,0.6126,0.9862671660424469,us,urban,0.59,0.46
898744374774910977,259318,2423805,212,883,8.3302,0.0197,0.772512,0.005949966193373901,0.03651763426029353,0.0026520526584615034,0.9774977497749775,0.32609999999999995,0.5043695380774033,us,urban,0.44,0.33
1230037322441166849,91,944,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,us,urban,0.5,0.38
