userids,tweets,tokens,nodes,edges,avg_degrees,densities,outliers,social_similarities,interactions,interactions_p,betweenness_mean,betweenness_range,closeness,country,type
32829310,76436,968994,51,123,4.8235,0.0482,52.0,0.0088,8.3091,0.2138,0.0157,0.6961,0.0108,uk,urban
1368812845895479296,57368,904216,30,93,6.2,0.1069,24.1379,0.0096,1.46,16.381,0.0037,0.032,0.005,uk,rural
381764148,50306,740013,44,362,16.4545,0.1913,27.907,0.0326,1.5032,85.0909,0.0184,0.5141,0.0022,uk,rural
3303350045,38401,519209,21,24,2.2857,0.0571,85.0,0.0027,1.3,1.8261,0.0025,0.05,0.0073,uk,urban
160387099,38109,510824,44,69,3.1364,0.0365,69.7674,0.0113,2.1556,2.4035,0.0073,0.299,0.007,uk,urban
1357812176506007559,60067,1160159,72,1217,33.8056,0.2381,0.0,0.0389,1.6528,36.816,0.0122,0.165,0.0044,uk,urban
704091634,76927,1008366,50,86,3.44,0.0351,53.0612,0.0028,2.2613,0.6078,0.0073,0.3025,0.0098,uk,rural
970413948511162368,153193,2054701,125,2387,38.192,0.154,8.0645,0.0397,2.0889,90.0564,0.0095,0.2028,0.0022,uk,rural
4727424495,121556,1801170,87,236,5.4253,0.0315,33.7209,0.0037,4.4618,4.3067,0.0121,0.3723,0.0219,uk,urban
1068933746718633984,258343,2720856,135,491,7.2741,0.0271,21.6418,0.0048,3.8903,2.4688,0.0092,0.5393,0.0297,uk,urban
846416485182570496,105827,1413804,68,783,23.0294,0.1719,7.4627,0.0286,1.651,49.7612,0.0087,0.194,0.0122,uk,rural
608547371,31613,330313,39,265,13.5897,0.1788,5.2632,0.0265,1.3592,0.7046,0.0275,0.4853,0.0145,uk,rural
942149847167197186,28901,524543,16,40,5.0,0.1667,33.3333,0.0151,3.06,0.0,0.0292,0.2405,0.003,uk,rural
1296548625221390355,21965,188732,14,16,2.2857,0.0879,69.2308,0.0065,,0.0,0.0,0.0,0.0,uk,urban
952138382003593217,126061,2293927,77,236,6.1299,0.0403,18.4211,0.0045,2.4667,17.8364,0.0111,0.3473,0.0192,uk,urban
2462629769,155528,1456519,140,676,9.6571,0.0347,18.705,0.0097,3.3463,6.6951,0.005,0.6477,0.0024,uk,urban
51982301,54656,1234863,37,155,8.3784,0.1164,25.0,0.0133,2.0385,2.975,0.0154,0.2865,0.0177,uk,rural
1483883511610331144,45841,888174,79,936,23.6962,0.1519,1.2821,0.021,1.3846,21.2294,0.0155,0.4457,0.0225,uk,urban
2938628213,26924,401575,26,51,3.9231,0.0785,68.0,0.0044,0.8667,7.6667,0.0273,0.7083,0.0032,uk,urban
1076578618262896641,48445,649262,22,45,4.0909,0.0974,14.2857,0.0082,6.0577,1.2059,0.009,0.1357,0.0191,uk,rural
1226210086277799937,14,49,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,urban
1211523817,18140,332951,19,45,4.7368,0.1316,44.4444,0.0105,4.4571,5.5,0.017,0.2985,0.0107,uk,rural
1483523442683097091,68736,927669,59,448,15.1864,0.1309,13.7931,0.0156,2.1431,5.8455,0.0143,0.4524,0.02,uk,rural
45169646,142993,1769460,90,139,3.0889,0.0174,58.427,0.0014,1.2244,0.0911,0.0004,0.0337,0.0029,uk,urban
79178216,25424,395688,15,21,2.8,0.1,57.1429,0.0154,1.1286,1.2571,0.0048,0.0714,0.0111,uk,rural
2797771585,39185,508059,17,34,4.0,0.125,56.25,0.0122,9.813,10.399,0.0145,0.2396,0.0158,uk,rural
3840161241,51823,659689,33,69,4.1818,0.0653,53.125,0.0071,1.3905,0.2641,0.0167,0.5086,0.0068,uk,rural
117197347,127446,1739115,86,233,5.4186,0.0319,22.3529,0.0028,2.3378,0.7909,0.0037,0.1882,0.0081,uk,rural
1430661119090302976,29,348,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,rural
1503787322386624513,100163,1535862,58,316,10.8966,0.0956,8.7719,0.0123,5.56,26.8962,0.0202,0.7457,0.0172,uk,rural
727422534409424896,249768,4656123,125,1117,17.872,0.0721,14.5161,0.0108,2.629,10.3715,0.0136,0.3244,0.0139,uk,rural
920564204146515969,96481,1420577,72,147,4.0833,0.0288,47.8873,0.0034,2.3867,1.2053,0.0018,0.1119,0.0039,uk,rural
257119812,90087,1587449,71,147,4.1408,0.0296,51.4286,0.004,0.9235,0.903,0.0046,0.2909,0.0055,uk,urban
23859313,78270,1246168,51,506,19.8431,0.1984,10.0,0.0155,4.1907,5.1735,0.017,0.5003,0.0119,uk,urban
1457026958752108551,4659,50577,4,4,2.0,0.3333,100.0,0.0097,0.3,0.0,0.0833,0.3333,0.0111,uk,rural
167843669,58239,722747,27,44,3.2593,0.0627,50.0,0.0049,1.4111,7.4667,0.0038,0.0492,0.0032,uk,urban
1484487951916670986,174741,1826648,88,479,10.8864,0.0626,12.6437,0.0151,2.4273,72.8511,0.0159,0.6214,0.0256,uk,urban
3212486177,65100,765359,59,257,8.7119,0.0751,10.3448,0.0095,1.8259,2.7923,0.029,0.5085,0.0354,uk,urban
1392797458200203268,22117,289982,11,62,11.2727,0.5636,0.0,0.0515,2.6171,0.4114,0.0727,0.1889,0.0529,uk,rural
4181497335,49579,837943,44,177,8.0455,0.0936,32.5581,0.0172,1.3556,5.2564,0.0265,0.5342,0.0123,uk,urban
76666169,175505,3008094,107,472,8.8224,0.0416,23.5849,0.005,2.1693,91.9714,0.011,0.3996,0.0115,uk,urban
1484846028134260742,2628,33809,8,17,4.25,0.3036,57.1429,0.0103,0.7286,2.9231,0.119,0.7143,0.0145,uk,urban
102952156,3250,70590,1,0,0.0,0.0,100.0,0.0,,0.0,0.0,0.0,0.0,uk,rural
329864887,40325,486502,35,115,6.5714,0.0966,20.5882,0.0075,2.6245,0.1818,0.0285,0.8736,0.0086,uk,urban
19999707,66663,866101,43,103,4.7907,0.057,35.7143,0.0063,5.761,1.0903,0.0125,0.5293,0.0038,uk,urban
168824958,49762,677626,58,664,22.8966,0.2008,3.5088,0.0254,2.5209,5.1325,0.0143,0.308,0.0002,uk,rural
