networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
1235504251054350337,7423,122242,21,52,4.9524,0.1238,50.0,0.0124,0.7375,4.3636,0.0393,0.5987,0.0213,au,au,0.33
3246532938,25385,499098,25,35,2.8,0.0583,62.5,0.0014,0.7636,0.75,0.0067,0.1667,0.009,au,au,0.39
878846947,66678,544450,104,377,7.25,0.0352,19.4175,0.0086,1.0667,9.0741,0.0137,0.3173,0.0177,au,au,0.41
1114614602753380352,444686,8287757,294,2303,15.6667,0.0267,10.2389,0.0088,3.2428,9.0981,0.0043,0.2582,0.0232,au,au,0.43
1077483881727590400,112933,594725,105,279,5.3143,0.0255,29.8077,0.0029,1.7023,3.8399,0.0021,0.0924,0.0068,au,au,0.45
1557174279690629120,55718,973741,25,61,4.88,0.1017,16.6667,0.0097,7.6944,0.0,0.0025,0.0163,0.0048,au,au,0.5
213466812,125495,2057839,88,285,6.4773,0.0372,20.6897,0.0082,5.2792,7.6894,0.0118,0.3097,0.0275,au,au,0.41
1138754631054454784,89717,1080265,56,178,6.3571,0.0578,23.6364,0.0057,2.2864,136.1818,0.0052,0.0365,0.001,au,au,0.48
1439533767157157890,86190,955394,84,307,7.3095,0.044,20.4819,0.0083,2.9931,7.8685,0.013,0.7623,0.028,au,au,0.34
775323253,60623,952650,68,445,13.0882,0.0977,11.9403,0.017,4.2804,58.0,0.0134,0.4041,0.0144,au,au,0.43
605787975,93251,1212665,92,437,9.5,0.0522,6.5934,0.0118,1.882,1.5475,0.011,0.6433,0.0227,au,au,0.38
27776953,77412,1518761,39,104,5.3333,0.0702,34.2105,0.0145,1.5077,1.4654,0.0039,0.0716,0.0039,au,au,0.46
1561937941991391232,82187,1102254,43,240,11.1628,0.1329,28.5714,0.0146,2.2556,14.3056,0.0015,0.0476,0.0066,au,au,0.47
1471652661942386688,192452,2403517,202,1380,13.6634,0.034,8.9552,0.0131,2.6457,2.9938,0.0045,0.5336,0.0295,au,au,0.39
1347467563362471936,53045,505830,66,512,15.5152,0.1193,13.8462,0.027,1.4296,9.9882,0.0117,0.3045,0.005,au,au,0.46
1932010764,205710,2060448,168,1915,22.7976,0.0683,3.5928,0.0119,2.017,6.06,0.004,0.4544,0.0031,au,au,0.45
1078335126323556353,318256,4360385,222,872,7.8559,0.0178,18.552,0.005,2.1803,4.8419,0.0039,0.0979,0.0006,au,au,0.47
4839122508,90454,1685686,134,1632,24.3582,0.0916,3.0075,0.0333,0.9976,6.2308,0.0078,0.4241,0.0239,au,au,0.42
1563081368305045505,40808,709486,23,76,6.6087,0.1502,9.0909,0.0372,0.9538,0.0,0.0554,0.43,0.0141,au,au,0.42
49239306,36460,496310,23,71,6.1739,0.1403,13.6364,0.0226,5.4721,1.4258,0.0413,0.1742,0.0145,au,au,0.46
440106694,269898,3443543,302,2186,14.4768,0.024,8.9701,0.0039,1.5228,5.1496,0.0019,0.2877,0.0091,au,au,0.45
439310055,191881,1485950,112,368,6.5714,0.0296,13.5135,0.005,5.4276,182.4138,0.002,0.0273,0.0033,au,au,0.49
1298922166163972097,42997,376733,136,340,5.0,0.0185,56.2963,0.0069,1.1857,0.2073,0.0062,0.8299,0.0015,au,au,0.33
1424705030792224772,49065,931945,26,75,5.7692,0.1154,8.0,0.0121,2.4105,16.6154,0.0106,0.0839,0.0031,au,au,0.49
382545687,188671,3767910,115,769,13.3739,0.0587,7.8947,0.011,4.3073,12.0363,0.019,0.2868,0.0027,au,au,0.46
970471549978394625,149952,2576122,251,1298,10.3426,0.0207,16.4,0.0064,1.8235,4.7396,0.0035,0.6417,0.0149,au,au,0.38
732437237162369025,177166,2316785,201,1185,11.791,0.0295,8.5,0.0096,2.0734,3.0577,0.0053,0.585,0.0273,au,au,0.38
1468188500965036034,98052,2102043,53,270,10.1887,0.098,1.9231,0.0131,1.1978,2.9928,0.0196,0.1711,0.0146,au,au,0.46
1443012687818985479,38784,663432,34,57,3.3529,0.0508,45.4545,0.0102,6.7467,2.3399,0.0012,0.0303,0.0044,au,au,0.46
1498211912319832064,270923,3306878,207,1777,17.1691,0.0417,16.5049,0.0102,2.4498,22.2517,0.008,0.4177,0.019,au,au,0.41
235105244,172095,3305490,254,1739,13.6929,0.0271,10.6719,0.0097,0.9121,0.8676,0.0038,0.6766,0.0215,au,au,0.37
1582997568396529664,18688,207490,9,14,3.1111,0.1944,25.0,0.0085,4.84,39.3333,0.0139,0.0982,0.0114,au,au,0.47
1153459197763153920,47697,747721,50,100,4.0,0.0408,44.898,0.0087,1.8913,6.0161,0.0056,0.26,0.0046,au,au,0.41
103677113,299958,4244412,252,1031,8.1825,0.0163,15.9363,0.0037,2.9556,4.0758,0.0048,0.4707,0.0175,au,au,0.4
1422917817964269571,77485,1140356,56,96,3.4286,0.0312,60.0,0.0019,3.4605,5.2,0.0044,0.1184,0.0129,au,au,0.4
287610618,240182,3104884,180,1258,13.9778,0.039,7.2626,0.008,2.4112,8.597,0.0037,0.2165,0.0065,au,au,0.46
1505000494053294080,64308,537394,162,421,5.1975,0.0161,54.0373,0.0159,1.08,1.7692,0.0061,0.9694,0.0011,au,au,0.31
999625722019823616,124924,1747996,102,254,4.9804,0.0247,31.6832,0.0056,3.038,0.9048,0.0029,0.268,0.0039,au,au,0.43
108145332,23559,346140,13,20,3.0769,0.1282,58.3333,0.0047,11.15,0.1063,0.0239,0.3068,0.0102,au,au,0.41
1040899697152417793,75175,1866507,41,129,6.2927,0.0787,15.0,0.0121,4.6971,4.1516,0.0223,0.2564,0.0141,au,au,0.44
993341548556238848,42089,782996,64,535,16.7188,0.1327,4.7619,0.0254,0.9488,41.1667,0.0257,0.2155,0.0469,au,au,0.41
1487765582430994435,102598,1754216,54,146,5.4074,0.051,33.9623,0.0076,2.8021,1.7438,0.0062,0.1052,0.0075,au,au,0.44
40134783,79286,1471280,45,79,3.5111,0.0399,25.0,0.0034,3.2846,3.908,0.0022,0.0666,0.0084,au,au,0.46
178586450,378679,4623306,215,3135,29.1628,0.0681,5.6075,0.0191,2.3493,23.1667,0.0097,0.1866,0.0277,au,au,0.44
347151037,117149,1895027,81,378,9.3333,0.0583,16.25,0.0096,2.5341,3.387,0.0042,0.2679,0.0019,au,au,0.46
1578954014,54568,942830,76,251,6.6053,0.044,21.3333,0.0058,1.5423,49.125,0.0072,0.3384,0.018,au,au,0.41
1587626904244273154,13605,191755,12,12,2.0,0.0909,81.8182,0.0059,0.3,0.0,0.0,0.0,0.0,au,au,0.41
397182612,65760,1027999,146,3457,47.3562,0.1633,0.0,0.0493,0.7355,7.5543,0.0058,0.358,0.0042,au,au,0.48
23749935,118560,1674198,88,559,12.7045,0.073,17.2414,0.0116,3.3338,13.3025,0.0078,0.1877,0.0242,au,au,0.43
4782233761,113123,1301782,155,1018,13.1355,0.0426,16.2338,0.0129,1.7168,2.7316,0.0041,0.5131,0.0041,au,au,0.42
76499157,262328,4002246,130,258,3.9692,0.0154,48.8372,0.0018,1.4462,0.899,0.0023,0.2743,0.0035,au,au,0.4
2635871982,5071,63709,11,11,2.0,0.1,100.0,0.0076,0.75,0.0,0.0091,0.1,0.0115,au,au,0.36
1444113254255525894,55365,907323,96,1982,41.2917,0.2173,3.1579,0.0436,1.4237,21.7707,0.0115,0.2332,0.0509,au,au,0.42
3408466492,144411,2797196,102,639,12.5294,0.062,9.901,0.0149,1.6462,8.1993,0.0069,0.2654,0.0094,au,au,0.45
568217663,39273,772172,42,108,5.1429,0.0627,26.8293,0.0086,0.9,44.0,0.0264,0.3515,0.0239,au,au,0.39
1143269802372263936,49923,1035408,34,112,6.5882,0.0998,27.2727,0.0172,0.9727,1.3778,0.0038,0.0435,0.0002,au,au,0.48
417781685,430590,5727128,248,1357,10.9435,0.0222,17.004,0.0043,1.8562,35.2195,0.0041,0.3486,0.0165,au,au,0.42
285513608,182775,3288231,205,1309,12.7707,0.0313,4.902,0.0096,1.731,2.47,0.0065,0.6826,0.0489,au,au,0.34
1296903899815636992,70064,583006,49,193,7.8776,0.0821,12.5,0.0124,10.0721,254.4878,0.0039,0.056,0.0013,au,au,0.51
878386151328890880,456645,7083013,250,5579,44.632,0.0896,5.6225,0.0227,2.0611,370.1481,0.0038,0.0436,0.0042,au,au,0.51
1307658828222087170,69713,887486,83,214,5.1566,0.0314,28.0488,0.0064,1.86,0.6272,0.0065,0.4637,0.0053,au,au,0.41
1422093737899937792,49797,596444,30,143,9.5333,0.1644,10.3448,0.0249,15.9545,1461.5,0.0068,0.0493,0.0026,au,au,0.56
1520446033637093376,164300,1613781,128,958,14.9688,0.0589,16.5354,0.0137,2.5117,1067.8889,0.0201,0.3209,0.0123,au,au,0.44
1383729932,101180,1890436,99,193,3.899,0.0199,39.7959,0.0044,1.2839,1.117,0.0019,0.1793,0.0025,au,au,0.43
1362671372342681604,3109,89418,2,1,1.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,au,au,0.44
1107612227463462912,15971,334493,8,33,8.25,0.5893,0.0,0.1018,1.525,0.0,0.0327,0.1548,0.0161,au,au,0.54
21846703,147327,2157564,105,313,5.9619,0.0287,14.4231,0.0028,1.4829,4.8644,0.0023,0.0352,0.0035,au,au,0.48
3252401011,305925,5206300,198,1006,10.1616,0.0258,18.2741,0.0054,7.21,109.3571,0.0075,0.3545,0.0117,au,au,0.44
