networkID,tweets,tokens,nodes,edges,avg_degrees,DENS,OUT,SocSim,IS,RIS,ABC,RBC,ACC,country,type,nsi
2281065438,120577,1595658,105,478,9.1048,0.0438,27.8846,0.0068,2.7013,2.2794,0.0092,0.6403,0.0147,us,urban,0.37
1454779873411493890,23195,205010,27,67,4.963,0.0954,19.2308,0.0123,0.54,8.0,0.014,0.0954,0.001,us,urban,0.47
74636313,169350,2263571,99,723,14.6061,0.0745,27.551,0.0153,2.0351,21.8182,0.0166,0.4993,0.0047,us,rural,0.41
1272999087336554498,104908,1434439,63,436,13.8413,0.1116,25.8065,0.0167,2.7033,127.5556,0.0193,0.4711,0.0093,us,urban,0.41
2150401347,10483,97979,10,19,3.8,0.2111,77.7778,0.0071,1.6833,0.0,0.0861,0.8611,0.0023,us,urban,0.29
1483658684244762624,11066,141140,13,22,3.3846,0.141,83.3333,0.0071,0.84,0.0,0.0571,0.7424,0.0043,us,rural,0.3
727218218,64912,837607,40,84,4.2,0.0538,35.8974,0.0064,2.7625,0.0851,0.0137,0.4095,0.0141,us,rural,0.39
376347550,115349,1106695,73,409,11.2055,0.0778,9.7222,0.0116,5.0089,0.8887,0.0124,0.8156,0.0001,us,rural,0.4
1480780693525319681,106852,1156066,104,437,8.4038,0.0408,16.5049,0.0063,2.8783,52.0429,0.0177,0.4008,0.0226,us,urban,0.4
286748008,165829,2411359,93,316,6.7957,0.0369,16.3043,0.0052,3.1114,28.2619,0.0034,0.1868,0.0078,us,rural,0.46
1192305497140908032,22834,364337,32,65,4.0625,0.0655,51.6129,0.0081,1.7842,0.378,0.0302,0.4867,0.0356,us,urban,0.32
1023107757929426947,252511,3464582,129,628,9.7364,0.038,13.2812,0.006,4.0317,2.4541,0.0061,0.4332,0.0207,us,urban,0.41
1424993048275030018,36907,502114,41,187,9.122,0.114,2.5,0.0201,1.4914,2.6761,0.0257,0.2629,0.0167,us,urban,0.45
711013715680763904,74878,823482,45,113,5.0222,0.0571,40.9091,0.0075,4.408,1.5929,0.0179,0.5298,0.0139,us,urban,0.37
1351588570172157952,31672,532985,52,525,20.1923,0.198,0.0,0.0233,1.9038,47.5161,0.0213,0.3596,0.0229,us,rural,0.45
392603216,221307,1950414,151,860,11.3907,0.038,26.6667,0.0062,2.3738,4.3143,0.0062,0.6573,0.0125,us,urban,0.37
600033618,61797,794224,50,176,7.04,0.0718,28.5714,0.0105,1.7071,10.381,0.0193,0.533,0.0273,us,urban,0.36
1434997671710711809,23734,202935,15,70,9.3333,0.3333,14.2857,0.0311,3.7333,0.0,0.0396,0.1187,0.0115,us,rural,0.49
1403876304479477761,139,1800,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.38
1422260981565169672,72043,1170223,51,100,3.9216,0.0392,54.0,0.0028,2.4786,0.2734,0.0102,0.2554,0.0196,us,rural,0.38
841675254372085760,81119,980004,81,310,7.6543,0.0478,23.75,0.0084,3.0323,3.3224,0.0147,0.6553,0.0243,us,urban,0.36
1100931513007259648,23892,456207,38,347,18.2632,0.2468,10.8108,0.0382,2.5506,4.2425,0.018,0.333,0.0052,us,rural,0.47
1640540593,58520,730618,52,104,4.0,0.0392,54.902,0.004,0.65,3.3333,0.0093,0.4812,0.0031,us,rural,0.37
1315895224606978048,176,2891,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.38
1406926792494100480,66317,854711,30,122,8.1333,0.1402,10.3448,0.015,5.018,2.0843,0.0165,0.2216,0.0136,us,rural,0.46
982501174359347200,68785,614917,46,116,5.0435,0.056,53.3333,0.006,1.325,1.763,0.0146,0.5603,0.0098,us,urban,0.35
970761794749841408,94175,1642658,80,908,22.7,0.1437,2.5316,0.0242,2.1672,0.4034,0.0139,0.4388,0.0116,us,rural,0.45
1388994441294266368,126611,1582663,103,350,6.7961,0.0333,35.2941,0.004,2.3704,119.0,0.0084,0.3681,0.0158,us,urban,0.39
15851046,95787,1362892,63,498,15.8095,0.1275,4.8387,0.0142,2.965,3.0477,0.0125,0.4195,0.0065,us,urban,0.45
1261010082239672322,201564,3332810,118,587,9.9492,0.0425,11.1111,0.0084,3.7749,385.4762,0.0106,0.3486,0.0223,us,rural,0.43
823021991426981888,105326,1372118,55,282,10.2545,0.0949,22.2222,0.0122,6.4609,885.9091,0.0109,0.0962,0.014,us,urban,0.48
1269535650082144256,169305,2655482,125,661,10.576,0.0426,17.7419,0.006,4.6355,74.5519,0.0083,0.4822,0.0235,us,urban,0.4
887006222175449089,205358,2012285,134,667,9.9552,0.0374,21.8045,0.0071,2.7772,5.6417,0.0061,0.3229,0.0105,us,urban,0.43
1423508215854161921,11057,138585,12,24,4.0,0.1818,27.2727,0.0099,0.3667,0.375,0.0402,0.3727,0.0217,us,rural,0.4
1554763843,169553,3114917,105,1027,19.5619,0.094,13.4615,0.0116,4.4933,18.562,0.0072,0.424,0.0094,us,urban,0.44
921810420,75394,1307294,68,376,11.0588,0.0825,23.8806,0.0167,0.8095,0.0,0.0238,0.477,0.0411,us,rural,0.35
1457765498205220866,140,4854,1,0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,rural,0.38
49700075,6390,54897,3,4,2.6667,0.6667,100.0,0.0005,0.0,0.0,0.3333,1.0,0.0,us,urban,0.21
700463344285720576,73287,580075,44,289,13.1364,0.1527,6.9767,0.0175,2.6377,27.3679,0.0144,0.3833,0.0025,us,urban,0.46
3095711101,47485,407473,36,244,13.5556,0.1937,22.8571,0.0273,5.5158,26.5789,0.0196,0.51,0.0064,us,urban,0.43
17623528,151052,2222450,93,389,8.3656,0.0455,26.087,0.0084,5.5916,1.4194,0.0102,0.7514,0.0154,us,urban,0.37
2778920480,74070,1385412,52,411,15.8077,0.155,0.0,0.0298,1.1747,6.3907,0.0268,0.4166,0.011,us,rural,0.45
1472249137504550913,39545,475984,23,105,9.1304,0.2075,13.6364,0.0272,2.887,11.45,0.0186,0.0902,0.0092,us,urban,0.49
1415680644504383504,147467,2101409,66,668,20.2424,0.1557,7.6923,0.0233,2.7649,148.0,0.0093,0.0833,0.0029,us,urban,0.5
1436503525744328705,41210,647520,62,637,20.5484,0.1684,9.8361,0.0252,2.0896,5.1805,0.0133,0.4489,0.0039,us,urban,0.45
1427139785915731971,514306,5206960,430,3033,14.107,0.0164,10.7226,0.0027,4.0554,35.4813,0.0023,0.4426,0.0199,us,urban,0.41
2432277057,185986,2154822,134,506,7.5522,0.0284,24.812,0.0072,1.7186,1.0777,0.0095,0.4721,0.0207,us,urban,0.38
837527969606184960,51397,509567,82,907,22.122,0.1366,6.1728,0.024,1.5708,12.0037,0.0103,0.5026,0.0011,us,urban,0.45
1073408342612209664,12768,99161,28,137,9.7857,0.1812,11.1111,0.0151,1.1083,7.3125,0.03,0.7458,0.0049,us,urban,0.4
1367154241891151878,23797,309196,18,51,5.6667,0.1667,17.6471,0.0188,1.54,0.0,0.0694,0.5221,0.0385,us,urban,0.35
1539122204,36027,634679,39,121,6.2051,0.0816,34.2105,0.0137,0.9571,0.0,0.01,0.2599,0.0112,us,urban,0.42
1450630670573654019,180482,2547935,165,1161,14.0727,0.0429,7.9268,0.0104,2.2176,24.0804,0.0093,0.6318,0.0355,us,urban,0.37
220792359,232370,2631889,118,739,12.5254,0.0535,24.7863,0.0095,3.2496,8.057,0.0092,0.5252,0.02,us,rural,0.39
1529878473845751810,69011,512990,118,618,10.4746,0.0448,31.6239,0.0074,2.3947,1.5787,0.0068,0.3604,0.0125,us,rural,0.41
1087179970768785409,58251,590801,37,111,6.0,0.0833,30.5556,0.0073,4.0958,8.4067,0.0173,0.5435,0.0066,us,rural,0.4
635711657,153344,1777316,101,200,3.9604,0.0198,45.0,0.0045,1.9943,4.3384,0.0023,0.1339,0.0071,us,rural,0.42
1486643967672393729,191844,1932526,109,506,9.2844,0.043,37.963,0.0065,4.9283,19.1181,0.014,0.4284,0.0135,us,urban,0.39
336858324,64576,1081054,52,182,7.0,0.0686,29.4118,0.0066,3.1727,76.5556,0.0129,0.498,0.012,us,urban,0.4
1453206769119940613,218634,1851299,151,328,4.3444,0.0145,40.6667,0.002,2.4947,32.4107,0.0008,0.02,0.0017,us,rural,0.45
1204083125858557953,147712,1664709,100,315,6.3,0.0318,36.3636,0.0031,6.4292,10.6303,0.0081,0.4985,0.0191,us,urban,0.38
826101379542482944,16364,278496,7,20,5.7143,0.4762,0.0,0.0362,4.175,54.6667,0.1238,0.2667,0.0175,us,rural,0.47
1462510039646756870,16290,149442,20,47,4.7,0.1237,57.8947,0.0075,3.3353,2.3952,0.0487,0.9693,0.0,us,urban,0.31
917439374496632832,98727,912544,98,1125,22.9592,0.1183,10.3093,0.0179,0.8723,20.9217,0.0074,0.0765,0.0106,us,rural,0.48
896767815062921216,64996,1369800,41,272,13.2683,0.1659,25.0,0.0253,2.0989,3.7927,0.011,0.092,0.004,us,rural,0.48
834203147404840960,49364,404676,66,614,18.6061,0.1431,23.0769,0.0261,1.9929,2.7399,0.0117,0.5898,0.0,us,urban,0.42
1418978984155619329,65831,768868,78,435,11.1538,0.0724,12.987,0.0162,1.5336,1.8689,0.0131,0.7889,0.0096,us,rural,0.38
28029248,60224,718956,41,79,3.8537,0.0482,52.5,0.0064,8.9938,0.5068,0.0062,0.1978,0.0085,us,urban,0.42
1180342774459068419,46697,845791,23,47,4.087,0.0929,54.5455,0.0078,5.4909,0.0,0.0008,0.0054,0.0007,us,urban,0.46
193442023,91254,1273075,78,196,5.0256,0.0326,63.6364,0.0047,0.9474,0.9149,0.0114,0.87,0.0016,us,urban,0.31
897354020137971712,59081,868911,38,104,5.4737,0.074,32.4324,0.0095,13.7738,8.3156,0.0058,0.1055,0.0053,us,urban,0.48
69549028,153862,2967525,125,1230,19.68,0.0794,4.8387,0.017,2.2913,34.2239,0.009,0.3535,0.0142,us,urban,0.44
1552281937573621761,12855,79603,8,19,4.75,0.3393,0.0,0.0381,3.1,0.0,0.1458,0.3452,0.0283,us,rural,0.41
1270710818552807424,267696,4012731,248,5519,44.5081,0.0901,0.4049,0.0206,2.2253,43.5568,0.005,0.2641,0.0102,us,urban,0.47
2572392124,35144,362202,24,56,4.6667,0.1014,60.8696,0.0079,0.8286,2.625,0.02,0.4648,0.0034,us,urban,0.37
1196787763405819904,72822,1007451,49,278,11.3469,0.1182,6.25,0.018,0.9833,0.0,0.0352,0.3084,0.0049,us,urban,0.45
1492598212963844101,56067,690601,29,74,5.1034,0.0911,17.8571,0.0082,0.7765,43.0,0.0153,0.0999,0.0119,us,urban,0.46
1281432856749764608,82484,1088217,40,301,15.05,0.1929,20.5128,0.0185,7.1755,8.5355,0.0218,0.427,0.0004,us,urban,0.46
1453577954672451587,131400,1307361,73,660,18.0822,0.1256,13.8889,0.0308,4.2142,29.0506,0.0222,0.2511,0.0162,us,rural,0.45
244022716,53332,828881,38,74,3.8947,0.0526,48.6486,0.0047,2.9625,1.2081,0.0059,0.211,0.0064,us,rural,0.42
856291165,82167,1511087,83,462,11.1325,0.0679,17.0732,0.0117,1.3367,30.0588,0.0139,0.3874,0.0171,us,rural,0.41
3860253141,45939,362748,38,159,8.3684,0.1131,16.2162,0.0115,3.3099,4.4492,0.0196,0.6764,0.0011,us,urban,0.41
555434609,76558,991490,71,186,5.2394,0.0374,34.2857,0.0078,1.4152,3.7653,0.0083,0.5416,0.0062,us,urban,0.39
1374456266303569924,40350,721365,57,140,4.9123,0.0439,28.5714,0.0137,2.48,0.0,0.0144,0.2985,0.0166,us,urban,0.41
42139077,51298,630684,93,167,3.5914,0.0195,66.3043,0.0035,1.6444,3.9333,0.0038,0.3162,0.0045,us,urban,0.38
968099131779682304,16090,124961,11,24,4.3636,0.2182,40.0,0.0179,2.92,96.3333,0.0202,0.2,0.0211,us,urban,0.42
1459184929602998273,74244,683896,43,381,17.7209,0.211,7.1429,0.0206,2.6768,18.0748,0.0206,0.3847,0.0107,us,urban,0.46
1497740534898737156,2910,31893,2,1,1.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,us,urban,0.44
1438871630021808130,13189,164299,7,8,2.2857,0.1905,50.0,0.0097,0.0,0.0,0.0048,0.0333,0.002,us,rural,0.45
1638735410,47734,497023,30,83,5.5333,0.0954,34.4828,0.0052,1.5846,0.5969,0.0059,0.1355,0.0107,us,urban,0.44
1481283501467082753,36665,371759,24,122,10.1667,0.221,4.3478,0.0287,1.1778,3.7111,0.0616,0.5733,0.0235,us,rural,0.4
4841081428,98217,861706,60,226,7.5333,0.0638,27.1186,0.0059,3.975,4.5789,0.01,0.5415,0.0037,us,urban,0.41
594435938,15263,188618,13,19,2.9231,0.1218,41.6667,0.0039,0.5,0.0,0.0181,0.2348,0.0122,us,urban,0.41
2266243153,59605,596848,71,521,14.6761,0.1048,10.0,0.0162,2.3212,3.4927,0.0128,0.5433,0.0075,us,rural,0.42
1485891661813145602,96379,1195888,65,366,11.2615,0.088,18.75,0.0116,4.2842,176.2759,0.0222,0.3178,0.0194,us,urban,0.42
264939211,85676,1362286,61,174,5.7049,0.0475,31.6667,0.0071,3.8175,11.725,0.0107,0.3445,0.0168,us,urban,0.4
59231991,74271,931621,44,85,3.8636,0.0449,41.8605,0.0083,1.3652,0.3362,0.0041,0.1589,0.006,us,rural,0.43
1003369897,39543,572881,45,183,8.1333,0.0924,31.8182,0.0111,1.4541,9.4353,0.0155,0.4549,0.0159,us,rural,0.39
1432732462422052868,136664,2088829,78,398,10.2051,0.0663,14.2857,0.0112,2.1861,19.1988,0.0172,0.2582,0.0116,us,urban,0.44
1338978516386410496,3372,43655,6,13,4.3333,0.4333,40.0,0.0532,1.05,0.1667,0.0583,0.325,0.0185,us,urban,0.42
798010761670983680,101212,1289345,74,256,6.9189,0.0474,19.1781,0.0059,1.52,14.5102,0.0099,0.4677,0.0138,us,urban,0.4
1463004977442422791,11256,197663,13,47,7.2308,0.3013,25.0,0.0618,0.9333,1.1538,0.0221,0.1667,0.0245,us,urban,0.45
1489361674746269697,42527,496743,36,405,22.5,0.3214,2.8571,0.0716,2.0618,81.9535,0.0278,0.31,0.0172,us,urban,0.48
